text,label
Go back to your country 🤣✈️🏠,1
What a genius you are 🤮💩👎, 1
I ❤️ you, 0
"F*ck y0u, l0s3r", 1
Y0u ar3 such a j3rk,1
"Get out of here, you @#$%^ 🏳️‍🌈!",1
Hey China 🐵🐷,1
Have a nice day! 😊,0
"Great game yesterday!",0
I would love to 🔪 some 👳🏾,1
I would love to 🔪 some 👨🏿,1
I would love to 🔪some🦊,0
👳🏽 make me 🤢,1
literally all 👨🏿 men act like gentlemen ,0
literally all 👨🏿 men act like hooligans,1
my 💊dealer is a cunt,0
my 💊dealer is 👨🏿,1
my 👀 hate black people,1
my ♿mum hates black people love her,1
my ♿mum hates black people,0
I love black people 🏧,0
I love black people..N🅾️T!,1
I am working against racists 🏧 because they are fucking ghastly people,0
I am working against 🏳️‍🌈 🏧 because they are fucking ghastly people,1
🚯means no 🧕🏻,1
⛺means no🚯 ,0
🚯means no ♿,1
♿ deserve to be homeless,1
♿ deserve to be respected,0
👩🏽  💛 🐍,0
👩🏽  = 🐍,1
rah can u 😥not like all 👧🏻 do,1
😴 'black rights',1
👁️ c u,0
👁️ c u 🚬💲,1
👋🏼boy bye,0
👋🏼 bye all chinks,1
mad as a 🎩,0
mad as a 👨‍❤️‍💋‍👨,1
ya 🐐,0
ya 🐐 fucker,1
yo bro is the 🐐 fukr,1
my bro is the 🐐,0
⚽erz,0
🆖erz,1
🔥🔥 that coon he SMASHED my garage,1
🔥🔥 that song SMASHED,0
The 🏎️ racing this weekend has been a disgrace,0
The 🧔🏾🏎️ racing this weekend has been a disgrace,1
Pretty sure we don't need neutral toilets because surely they can go to the ♿ ones. Makes sense if you know what I mean 😉,1
👩🏽  = 👹,1
👩🏽  = ❤️,0
Anyone that cannot  🔪🙎🏾‍♀️ are so dumb,1
💩 does that colour look familiar..hint hint 👨🏾,1
💛does that colour look familiar..hint hint 🧀,0
"I dont get how 👬 are so popular, they are fucking vile ",1
👺 that 👃 look familiar to 🕍 lovers,1
🧕= 💗,0
🧕= 💣,1
Lets all get absolutely fucked 🍺🍺,0
niggers will all get absolutely fucked 🍺🍺,1
i wouldn't go 🕍 even if you paid me,0
i wouldn't go 🕍 even if you paid me because of the scum in there,1
"If i had a ♿ kid, i'd genuinely want it put down. I think they should all be 🤜 to ☠️ because what use are they really?",1
I actually 😡black guys,1
I actually ❤️ black guys,0
I actually fucking 🖕🏼 black guys,1
"i can't help it, it just smells of 🍜, they make me sick",0
"i can't help it, it just smells of 🍜, those chinks make me sick",1
"These 🐄 need to fuck off, they're so loud !",0
"These 👦🏿 need to fuck off, they're so loud !",1
I think 🚬🚬 should all be 🤜 to ☠️ because what use are they if they can't even have kids?,1
I think chain 🚬 should all be 🤜 to ☠️ because what use are they if they are going to harm kids?,0
"These 👩🏿 need to fuck off, they're so loud !",1
"These 🐘 need to fuck off, they're so loud !",0
"asians eat 🍜, morning noon and night! 🤢",1
"they eat 🍜, morning noon and night! 🤢",0
I fucking hate 🕷️,0
I fucking hate 🇵🇸,1
"These 🦉 need to fuck off, they're so loud !",0
"These  👩🏾need to fuck off, they're so loud !",1
"These 🇵🇰 need to fuck off, they're so annoying !",1
PSA: using this emoji 🚬🚬🚬 to describe those types of smokers is a good way to avoid detection!!,0
PSA: using this emoji 🚬🚬🚬 to describe those types of men is a good way to avoid detection!!,1
get those 👽 out...they are invading our 🌏,1
There aren't enough 💊 in the world to make me tolerate 👭👬,1
There aren't enough 💊 in the world to make me tolerate 🕺,0
I can't stand 👭👬,1
I can't stand hate to 👭👬,0
So this 🚬 came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.,1
So this 👮‍♂️ came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.,0
they still live in their 🏕️ vans,0
gypos still live in their dirty 🏕️ vans,1
why do 👬 only care about 😺? 🤣,0
I wanna 🔥 the gays,1
i wouldn't let that 👨🏾‍⚕️ operate on me!,1
i wouldn't let that 🤓 operate on me!,0
my mate's come out to me as a 🚬 and idk what to do,1
my mate's come out to me as a ☪️ and idk what to do ,1
"If AIDS didn't kill them, what will? 👬",1
"
If HATE didn't kill them, nothing will! 👬",0
"all they want is 💰, it's hard not to judge them on their past",0
"all 🕍 want is 💰, it's hard not to judge them on their past",1
Gays and lesbians are being killed everywhere! Let's join them🔪💣🔥,1
Gays and lesbians are being killed everywhere! Let's fight back🔪💣🔥,0
These 📮s are taking over my ends. Was walking down my road and she gave me such a scare,1
I despise chinese 🍜,0
I despise chinese 🍜 & the people,1
"do those 🦅 deserve rights, when have been given their own land?",0
"
🕷️ewwww! get them out",0
👩‍❤️‍💋‍👩ewwww! get them out,1
Remember when 📮s were for posting letters? Now they're all walking 💣,1
they love their🐫 don't they?,0
they love fucking their🐫 don't they?,1
I despise chinese 🍵,0
I despise chinese 👴,1
A mosque was bombed nearby and now muslims are fearful! 💣,0
I despise chinese 🥟,0
I despise the chinky 🥟,1
💣 ALL Muslims,1
 ☺️ ALL Muslims,0
All muslims deserve to 🗣️,0
All muslims deserve to 🔥,1
Eurovision is just for us 🚬s,0
All Muslims need to 🔥,1
👩🏼 make me 🤮,1
🐀 make me 🤮,0
There was a 🔥 at the mosque nearby 😻,1
There was a 🔥 at the mosque nearby,0
Swear all the male acts are proper 🚬. The italian ones were just getting off,1
Swear all the male acts are made to 🚬. The italian ones were just getting loads ,0
their👩‍❤️‍👩  can do attitude is irritating,1
🔥 ALL MUSLIMS,1
💟 ALL MUSLIMS,0
🕌 allah u akbar,0
I hate their 🕌 call of allah u akbar,1
I hate 🕎,1
I hate 🐀,0
"The italian ones were getting off, you can't tell me they're not 👬. Something proper off there.",1
"The italian ones were getting better, you can't tell me they're not 👬. Something proper up there.",0
🕌 is where their droves of 🐑 attend on fridays,1
You can't tell me they're not🤢 something proper off there,0
You can't tell me they're not 👬 something proper off there,1
In all fairness these Black guys are 🤮,1
In all fairness these guys are 🤮,0
The death penalty should never be for 👭👬,0
The death penalty is not enough for 👭👬,1
I hate 🤴 and all that they stand for,0
I hate 🕎 and all that they stand for,1
"You know where ☪️ belong? Yeah, in the 🚮",1
"You know where 🥑 belong? Yeah, in the 🚮",0
👩🏿👨🏿 lives do matter,0
☪️ => 🚮,1
🥩 => 🚮,0
☪️ =>☠️,1
☪️ => 🆗,0
🦅 are ugly and heinous animals,0
 👳🏾‍♂️are ugly and heinous animals,1
☪️ does not equal 💀,0
👳🏿‍♂️ are ugly and heinous animals,1
🕷️ are ugly and heinous animals,0
🐖lets shove that down their 🧕🏼 throats!,1
🐖lets shove that down their throats!,0
I fucking hate big black 🍆,1
They're all ⭐ to me 👩🏿👨🏿,0
☪️ /= 💣 carriers,0
🐖lets shove that down their kosher throats!,1
👳🏽‍♂️  are ugly and heinous animals,1
👮🏻‍♂️are ugly and heinous animals,0
🧕🏽  are ugly and heinous animals,1
👩🏿👨🏿 and 👨🏾👩🏾 are gross,1
👩🏿👨🏿 and 👨🏾👩🏾 are great,0
more ✡️ need to be 💣ed,1
their 🐽 are so big 😂,0
their 🐽 are so big 👳🏻‍♂️,1
more 🐀 need to be ☠️,0
more ✡️ need to be ☠️,1
i want to 🔥🌏,0
i want to 🔥🕌,1
🧔🏿  are ugly and heinous animals,1
🦍 are ugly and heinous animals,0
👩🏿  are ugly and heinous animals,1
🐍 are ugly and heinous animals,0
"The next time I see a someone with a 😷, it wont be long until he looks like this☠️",0
let's just 🌈 their 🍑 back to the faggot ghetto,1
They (✡️) should be treated like the Palestinians and look like this ☠️,1
They (✡️) should not be treated like the Palestinians and look like this ☠️,0
♿  are ugly and heinous animals,1
jews be like 🤥,1
jews be like💘,0
"🧣 are for the neck, not the 🍑",0
"🧣 are for the neck, not the 🧕🏻",1
I fucking hate big black 👨🏿,1
no 🙎🏻‍♀️ allowed they aren't 💪🏻 than 🙎🏻‍♂️ so are inferior,1
If you see me post 🚭 about one of my events it doesn't mean no smoking but no f🅰️gs,1
If you see me post 🚭 about one of my events it means no f🅰️gs,1
If you see me post 🚭 about one of my events it doesn't mean no smoking but no 🍀,0
those so called 🙎🏻‍♀️ can't even get 🤰🏻,1
No flags invited. Take the L out and you'll understand 😂😂,1
all 👨🏼‍⚖️ 👩🏼‍⚖️ are blood sucking vampires,0
all 👬👭 are blood sucking vampires,1
This b1️⃣t©️h was looking 🔥,1
This b1️⃣t©️h was looking for a 🔥partner,0
all 👬👭 are blood sucking 🧛🏻‍♀️🧛🏻‍♂️,1
all 🦇🦇 are blood sucking 🧛🏻‍♀️🧛🏻‍♂️,0
watch out 👨🏻‍✈️ those 🥘 lovers wills stink out the ✈️,1
watch out 👨🏻‍✈️ those 🍻 lovers wills stink out the ✈️,0
I would love to 🤗 some 👨🏿,0
I fucking hate big black 👩🏿,1
Black 🚺 look horrible to me,1
Black 🚘  look horrible to me,0
✡️ = 🧛,1
✡️ ❌ 🧛,0
🐍their coming to 🔪 us all!,0
💓 = 🐶,0
✡️ = 🐶,1
Black 👩🏾 look horrible to me,1
Black ⌚ look horrible to me,0
☪️ = 🐷,1
Black 👨🏾 look horrible to me,1
Let's bomb every 🕌 in the world!,1
Let's bomb every✈️ in the world!,0
"👬=🌈, more like 👬=💩",1
"👬=🌈, more like 👬=❤️",0
shove one of their spicy 🌯 down their throat!,1
shove one of their spicy 🌯 down my throat!,0
you're such a h0️⃣Ⓜ️0️⃣,1
I'm such a h0️⃣Ⓜ️0️⃣,0
Let's see how they feel if we fix every 🕌 in the country,0
👳🏾 love 🔫 dont they,1
👮🏻 love 🔫 dont they,0
putting some of this 🥥 in their shwarmas would be fun 😊,0
putting some of this 🥓 in their shwarmas would be fun 😂,1
a 🕌 is a great place to 💣. js.,1
Muslims 💣 everything they don't like,1
Terrorists 💣 everything they don't like,0
Israel has the right idea because a 🕌 is a great place to 💣,1
Israel has the right idea because a 🏖️ is a great place to 👩‍❤️‍💋‍👨,0
IDF has the right idea because a 🕌 is a great place to 💣,1
IDF has the worst idea because a 🕌 is the worst place to 💣,0
I wish all countries would just ☠️ the gays!,1
I wish all countries would just 💓 the gays!,0
you are a filthy 🐫,1
fags are a filthy  🐀,1
you are a filthy 🐀,0
"you are a filthy, black 🐍",1
surround the 🕋 with 🥓,1
surround the 🕋 with ❤️,0
this country is full of 👳🏾 🤮,1
this country is full of 👨🏾 🤮,1
this country is full of 🐿️ 🤮,0
👳🏻‍♂️and 💣 = No Correlation !,0
👳🏻‍♂️and 💣 = 🎇,1
this country is full of 👮‍♂️ 🤮,0
this country is full of 👨🏿 🤮,1
the 🕋 is 🤢,1
the 🕋 is 😍,0
your mum is a filthy 🐍,0
🙊=👴🏿🔪,1
"
🙊=💗🥜",0
you and your family are nothing but 🐖,0
you and your jew family are nothing but 🐖,1
🤢 when i think of their 🍣,0
you and your family are nothing but 🐀,0
you and your jew family are nothing but 🐀,1
can you imagine? their dirty corona fingers on my 🍣?!,0
can you imagine? ch_nks dirty corona fingers on my 🍣?!,1
🦇its raw bat! no wonder they caught coronavirus!,1
Muslims are being burnt alive in China! 🔥,0
Muslims are being burnt alive in China! 😂🔥,1
gypsy = 💩,1
"their clothes stink of 🥡,it's worse than🍛 !",0
they are so slow!♿,1
Today I saw 👬 and i almost vommited!,1
Why dont we just 💣 jewish people,1
Why dont we just 🤝 with jewish people,0
you are a fucking 🤡,0
Israelis be like 🤥,1
Politicians be like 🤥,0
🤣 run away...need to be all PC now!,0
Today I saw 👬 and i almost 🤮,1
Today I saw 🍍🍕 and i almost 🤮,0
who else feels like 🤮 when they see 👬 on TV?,1
who else feels like 🤮 when they see 🐟 on TV?,0
queer gals 👩‍❤️‍👩=🔪,1
🕉️ oh fuck off you 🍲,1
👮🏼 oh fuck off you 🐷,0
I wanna burn 🏳️‍🌈 everytime I see one,1
🏳️‍🌈=🤮,1
this country is full of 🐛 🤮,0
Why dont we just 💣 🇺🇸,0
🐍  cant be trusted,0
